sample_name	age	age_units	body_habitat	body_product	body_site	collection_timestamp	description	dna_extracted	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	experiment_center	geo_loc_name	host_common_name	host_life_stage	host_scientific_name	host_subject_id	host_taxid	latitude	longitude	physical_samp_avail_now	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_center	sample_type	scientific_name	sex	taxon_id	title
11653.TMST0334	9	days	UBERON:feces	UBERON:feces	UBERON:feces	2009-06-15 09:00	1990s.Infant01	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	TM.M09076	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.TMST0874	620	days	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-16 09:00	1990s.Juvenile01	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	TM.M09076	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.TRST0241	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2009-06-23 09:00	1990s.Infant02	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	TR.M09 09:003	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.TRST0875	610	days	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-16 09:00	1990s.Infant09	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	TR.M09 09:003	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.TTST0245	6	days	UBERON:feces	UBERON:feces	UBERON:feces	2009-06-26 09:00	1990s.Infant10	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	TT.M09 09:005	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.TTST0876	607	days	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-17 09:00	1990s.Juvenile02	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	TT.M09 09:005	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.TWST0255	8	days	UBERON:feces	UBERON:feces	UBERON:feces	2009-07-10 09:00	1990s.Infant03	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	TW.M09109	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.TWST0877	595	days	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-17 09:00	1990s.Juvenile03	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	TW.M09109	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.VFST0428	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-04-08 09:00	2008.Infant04	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	VF.M10016	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.VGST1092	542	days	UBERON:feces	UBERON:feces	UBERON:feces	2011-09-30 09:00	2008.Juvenile05	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	VG.M10017	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.VHST0439	6	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-04-22 09:00	2008.Infant05	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	VH.M10024	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.VIST0447	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-04-30 09:00	2008.Infant06	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	VI.M10033	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.VIST1120	539	days	UBERON:feces	UBERON:feces	UBERON:feces	2011-10-14 09:00	2008.Juvenile06	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	VI.M10033	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
