sample_name	anonymized_name	collection_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	host_subject_id	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	taxon_id	temp	title
11760.f.H2946.A	H2946.A	2015-06-15 16:00	School H, classroom 294, desk, 21 days post-cleaning	TRUE	105.158	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	H	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.083	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.H2951.A	H2951.A	2015-05-26 17:27	School H, classroom 295, desk, Pre-cleaning	TRUE	105.158	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	H	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.274	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.H2953.A	H2953.A	2015-05-27 16:05	School H, classroom 295, desk, 1 day post-cleaning	TRUE	105.158	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	H	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.179	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.H2956.A	H2956.A	2015-06-15 16:12	School H, classroom 295, desk, 21 days post-cleaning	TRUE	105.158	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	H	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.608	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.H2961.A	H2961.A	2015-05-26 16:49	School H, classroom 296, desk, Pre-cleaning	TRUE	105.158	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	H	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	23.814	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.H2963.A	H2963.A	2015-05-27 16:15	School H, classroom 296, desk, 1 day post-cleaning	TRUE	105.158	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	H	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	20.059	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.H2966.A	H2966.A	2015-06-15 16:23	School H, classroom 296, desk, 21 days post-cleaning	TRUE	105.158	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	H	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	20.583	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.H2971.A	H2971.A	2015-05-26 18:04	School H, classroom 297, desk, Pre-cleaning	TRUE	105.158	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	H	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	23.237	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.H2973.A	H2973.A	2015-05-27 16:20	School H, classroom 297, desk, 1 day post-cleaning	TRUE	105.158	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	H	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	20.035	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.H2976.A	H2976.A	2015-06-15 16:33	School H, classroom 297, desk, 21 days post-cleaning	TRUE	105.158	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	H	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	20.606	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.O1101.A	O1101.A	2015-05-26 16:16	School O, classroom 110, desk, Pre-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.728	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.O1103.A	O1103.A	2015-05-27 15:10	School O, classroom 110, desk, 1 day post-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.776	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.O1106.A	O1106.A	2015-06-15 15:16	School O, classroom 110, desk, 21 days post-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	22.397	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.O7001.A	O7001.A	2015-05-26 15:26	School O, classroom 7, desk, Pre-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.823	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.O7003.A	O7003.A	2015-05-27 14:45	School O, classroom 7, desk, 1 day post-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	22.039	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.O7006.A	O7006.A	2015-06-15 14:52	School O, classroom 7, desk, 21 days post-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.370	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.O9701.A	O9701.A	2015-05-26 15:59	School O, classroom 97, desk, Pre-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	22.661	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.O9703.A	O9703.A	2015-05-27 15:00	School O, classroom 97, desk, 1 day post-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.991	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.O9706.A	O9706.A	2015-06-15 15:06	School O, classroom 97, desk, 21 days post-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.680	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
